Code,Area,Number of blind people registered who are aged: Total number of people registered (Year 2000),Number of blind people registered who are aged: 0 to 4 (Year 2000),Number of blind people registered who are aged: 5 to 17 (Year 2000),Number of blind people registered who are aged: 18 to 49 (Year 2000),Number of blind people registered who are aged: 50 to 64 (Year 2000),Number of blind people registered who are aged: 65 to 74 (Year 2000),Number of blind people registered who are aged: 75 or over (Year 2000),Number of blind people registered who are aged: Total number of people registered (Year 2003),Number of blind people registered who are aged: 0 to 4 (Year 2003),Number of blind people registered who are aged: 5 to 17 (Year 2003),Number of blind people registered who are aged: 18 to 49 (Year 2003),Number of blind people registered who are aged: 50 to 64 (Year 2003),Number of blind people registered who are aged: 65 to 74 (Year 2003),Number of blind people registered who are aged: 75 or over (Year 2003),Number of blind people registered who are aged: Total number of people registerd (Year 2006),Number of blind people registered who are aged: 0 to 4 (Year 2006),Number of blind people registered who are aged: 5 to 17 (Year 2006),Number of blind people registered who are aged: 18 to 49 (Year 2006),Number of blind people registered who are aged: 50 to 64 (Year 2006),Number of blind people registered who are aged: 65 to 74 (Year 2006),Number of blind people registered who are aged: 75 or over (Year 2006),Number of blind people registered who are aged: Total number of people registerd (Year 2008),Number of blind people registered who are aged: 0 to 4 (Year 2008),Number of blind people registered who are aged: 5 to 17 (Year 2008),Number of blind people registered who are aged: 18 to 49 (Year 2008),Number of blind people registered who are aged: 50 to 64 (Year 2008),Number of blind people registered who are aged: 65 to 74 (Year 2008),Number of blind people registered who are aged: 75 or over (Year 2008),Number of blind people registered who are aged: Unknown age (Year 2008),Number of partially sighted people registered who are aged: Total number of people registered (Year 2000),Number of partially sighted people registered who are aged: 0 to 4 (Year 2000),Number of partially sighted people registered who are aged: 5 to 17 (Year 2000),Number of partially sighted people registered who are aged: 18 to 49 (Year 2000),Number of partially sighted people registered who are aged: 50 to 64 (Year 2000),Number of partially sighted people registered who are aged: 65 to 74 (Year 2000),Number of partially sighted people registered who are aged: 75 or over (Year 2000),Number of partially sighted people registered who are aged: Total number of people registered (Year 2003),Number of partially sighted people registered who are aged: 0 to 4 (Year 2003),Number of partially sighted people registered who are aged: 5 to 17 (Year 2003),Number of partially sighted people registered who are aged: 18 to 49 (Year 2003),Number of partially sighted people registered who are aged: 50 to 64 (Year 2003),Number of partially sighted people registered who are aged: 65 to 74 (Year 2003),Number of partially sighted people registered who are aged: 75 or over (Year 2003),Number of partially sighted people registered who are aged: Total number of people registered (Year 2006),Number of partially sighted people registered who are aged: 0 to 4 (Year 2006),Number of partially sighted people registered who are aged: 5 to 17 (Year 2006),Number of partially sighted people registered who are aged: 18 to 49 (Year 2006),Number of partially sighted people registered who are aged: 50 to 64 (Year 2006),Number of partially sighted people registered who are aged: 65 to 74  (Year 2006),Number of partially sighted people registered who are aged: 75 or over (Year 2006),Number of partially sighted people registered who are aged: Total number of people registered (Year 2008),Number of partially sighted people registered who are aged: 0 to 4 (Year 2008),Number of partially sighted people registered who are aged: 5 to 17 (Year 2008),Number of partially sighted people registered who are aged: 18 to 49 (Year 2008),Number of partially sighted people registered who are aged: 50 to 64 (Year 2008),Number of partially sighted people registered who are aged: 65 to 74 (Year 2008),Number of partially sighted people registered who are aged: 75 or over (Year 2008),Number of partially sighted people registered who are aged: Unknown age (Year 2008)
00AA,City of London,6,0,0,0,2,0,4,10,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,15,0,0,6,0,1,8,15,0,0,0,0,0,10,25,0,0,0,0,0,15,20,0,0,0,0,0,15,0
00AB,Barking and Dagenham,628,3,9,73,51,66,426,375,0,15,85,50,40,190,295,0,15,65,40,45,130,345,0,15,80,60,40,140,0,675,4,12,77,33,62,487,405,0,15,60,30,30,265,340,0,20,35,35,25,225,395,0,15,45,55,30,245,0
00AC,Barnet,1118,2,13,182,104,85,732,820,0,0,125,100,75,515,890,5,20,125,115,80,540,950,5,25,125,120,90,580,0,934,4,41,79,62,71,677,730,0,0,85,65,80,495,830,5,45,90,75,85,520,905,5,40,115,85,95,565,0
00AD,Bexley,421,2,11,49,39,57,263,435,0,10,0,90,0,330,410,0,10,45,35,50,270,390,0,10,50,40,40,250,0,613,5,27,75,43,71,392,590,0,25,0,130,0,435,465,0,20,60,35,30,325,450,0,15,70,30,30,300,0
00AE,Brent,1708,108,111,225,226,237,801,1250,0,5,145,115,135,850,1360,0,15,170,135,135,900,1380,0,25,165,145,140,900,0,930,31,34,142,122,125,476,820,0,10,120,90,90,505,875,0,20,135,90,90,545,935,0,25,145,95,95,575,0
00AF,Bromley,816,8,15,74,58,83,578,805,0,15,80,60,90,555,920,0,30,85,65,60,680,955,0,15,90,75,65,710,0,843,1,32,55,48,83,624,860,0,35,60,70,60,635,960,0,35,75,75,70,705,1020,0,40,105,85,95,690,0
00AG,Camden,536,2,23,61,47,48,355,575,0,15,80,55,55,370,600,0,10,80,65,55,390,665,0,10,90,70,55,440,0,459,3,10,43,43,54,306,575,0,10,55,55,75,380,600,0,10,70,50,55,415,640,0,10,80,50,50,450,0
00AH,Croydon,905,29,25,150,102,156,443,970,30,30,160,115,165,475,955,5,20,145,90,95,605,955,0,20,140,115,85,595,0,623,27,35,59,80,99,323,670,30,40,65,85,100,345,740,0,35,110,70,65,450,745,0,35,120,75,65,445,0
00AJ,Ealing,1318,2,22,151,116,122,905,1170,0,15,110,100,115,825,1155,0,15,120,105,165,750,970,0,15,130,105,155,570,0,1021,5,40,141,108,115,612,770,0,25,85,50,85,520,800,0,15,105,70,90,515,650,0,20,105,75,80,370,0
00AK,Enfield,1039,1,17,97,75,76,773,515,0,15,85,70,55,290,320,0,5,75,65,40,130,565,5,25,110,90,75,255,0,633,5,25,91,68,59,385,415,0,15,75,60,30,240,265,0,15,60,50,15,120,500,0,35,85,65,45,265,0
00AL,Greenwich,689,3,12,87,62,69,456,695,0,15,95,60,70,455,390,0,15,55,35,35,255,465,0,15,65,35,50,300,0,651,2,21,64,41,65,458,755,5,20,80,60,65,520,515,0,20,40,50,40,370,600,0,20,55,55,50,420,0
00AM,Hackney,419,3,17,85,54,62,198,545,0,20,110,75,90,250,580,0,35,125,70,85,265,590,0,35,120,80,80,270,0,382,1,16,70,50,52,193,425,0,20,75,50,65,210,445,0,25,85,60,65,210,450,0,30,90,65,60,210,0
